CUST_ID,cust_name,region,signup_dt
1,Customer 1,Midwest,2024-09-03
2,Customer 2,Southeast,2024-04-27
3,Customer 3,Midwest,2025-07-25
4,Customer 4,West,2025-07-23
5,Customer 5,West,
6,Customer 6,Midwest,
7,Customer 7,Southwest,2026-04-12
8,Customer 8,Southeast,2026-05-05
9,Customer 9,Southwest,2024-11-25
10,Customer 10,Northeast,2026-03-08
11,Customer 11,Midwest,2024-07-28
12,Customer 12,Southeast,2024-03-23
13,Customer 13,Southeast,2026-07-11
14,Customer 14,Southwest,2025-07-05
15,Customer 15,Northeast,2026-03-31
16,Customer 16,Southeast,2026-05-20
17,Customer 17,Northeast,2025-04-17
18,Customer 18,Northeast,2026-03-14
19,Customer 19,West,2024-10-05
20,Customer 20,Southwest,2026-07-30
21,Customer 21,West,2024-12-25
22,Customer 22,West,2026-05-13
23,Customer 23,Southwest,2025-09-12
24,Customer 24,West,2025-08-09
25,Customer 25,Southwest,2024-05-21
26,Customer 26,Southwest,
27,Customer 27,Northeast,2025-10-09
28,Customer 28,Northeast,2026-02-17
29,Customer 29,Southwest,2025-05-31
30,Customer 30,West,2024-02-27
31,Customer 31,Southwest,2025-11-01
32,Customer 32,Northeast,2025-06-27
33,Customer 33,Northeast,
34,Customer 34,Southwest,2026-08-03
35,Customer 35,Southwest,2024-03-04
36,Customer 36,Southwest,2026-04-28
37,Customer 37,Northeast,2024-09-02
38,Customer 38,Northeast,2025-04-22
39,Customer 39,Northeast,2025-05-02
40,Customer 40,Northeast,2024-05-18
41,Customer 41,Southeast,2026-03-01
42,Customer 42,Northeast,2024-06-01
43,Customer 43,Northeast,2026-06-07
44,Customer 44,Southeast,2026-02-27
45,Customer 45,Southwest,2025-08-13
46,Customer 46,West,2025-06-02
47,Customer 47,Midwest,2026-06-25
48,Customer 48,Northeast,2025-02-28
49,Customer 49,Midwest,2024-10-21
50,Customer 50,Southwest,2024-01-19
51,Customer 51,West,2024-02-06
52,Customer 52,Northeast,2024-01-10
53,Customer 53,Northeast,2024-04-21
54,Customer 54,West,2024-03-26
55,Customer 55,Southwest,2025-11-11
56,Customer 56,Southwest,2026-06-17
57,Customer 57,Southwest,2026-04-17
58,Customer 58,Southwest,2026-04-28
59,Customer 59,Southwest,2024-10-17
60,Customer 60,Northeast,2024-11-27
61,Customer 61,Midwest,2026-03-05
62,Customer 62,Midwest,2026-02-11
63,Customer 63,Southwest,2026-02-25
64,Customer 64,West,2025-07-01
65,Customer 65,Southwest,2024-09-18
66,Customer 66,Southwest,2026-06-15
67,Customer 67,West,2025-11-05
68,Customer 68,Midwest,2024-10-07
69,Customer 69,Northeast,2025-01-03
70,Customer 70,Northeast,2026-04-24
71,Customer 71,West,2025-09-11
72,Customer 72,West,2024-01-23
73,Customer 73,West,2025-12-09
74,Customer 74,Southeast,2024-06-13
75,Customer 75,Midwest,2025-06-12
76,Customer 76,West,2025-01-20
77,Customer 77,Northeast,2024-11-03
78,Customer 78,Northeast,2025-10-24
79,Customer 79,West,2024-01-06
80,Customer 80,Northeast,2026-05-13
81,Customer 81,Southeast,2026-03-18
82,Customer 82,West,2024-03-19
83,Customer 83,Southwest,
84,Customer 84,Northeast,2024-05-09
85,Customer 85,Northeast,2025-10-14
86,Customer 86,Midwest,2026-08-17
87,Customer 87,Midwest,2026-04-24
88,Customer 88,Southeast,2025-11-15
89,Customer 89,Northeast,2025-07-17
90,Customer 90,Southwest,2024-03-14
91,Customer 91,Southeast,2024-07-27
92,Customer 92,West,2026-01-24
93,Customer 93,Midwest,2024-08-23
94,Customer 94,Southeast,2025-03-22
95,Customer 95,West,2025-11-06
96,Customer 96,West,2025-02-15
97,Customer 97,Northeast,2025-09-20
98,Customer 98,Midwest,2024-12-04
99,Customer 99,Midwest,2025-03-15
100,Customer 100,Southeast,2024-12-27
101,Customer 101,Southeast,2026-03-26
102,Customer 102,Southeast,2024-12-19
103,Customer 103,Southeast,2025-06-23
104,Customer 104,Southwest,2025-05-19
105,Customer 105,Southeast,2024-04-06
106,Customer 106,Southwest,2024-03-10
107,Customer 107,Midwest,2024-01-10
