ITEM_ID,ORDER_ID,PROD_ID,qty,unit_price
1,1,78,2,279.17
2,1,761,1,18.85
3,1,407,1,296.66
4,1,652,2,396.98
5,2,467,4,478.42
6,2,296,4,415.78
7,2,485,1,341.37
8,3,265,2,153.61
9,3,108,3,407.49
10,4,484,1,147.02
11,5,380,3,374.27
12,5,773,1,31.05
13,5,543,1,343.77
14,5,152,1,190.67
15,6,330,1,354.46
16,7,729,4,417.19
17,7,767,3,208.74
18,8,212,1,326.04
19,8,668,3,126.81
20,8,268,3,122.31
21,8,163,1,29.29
22,8,713,3,136.35
23,9,413,2,244.49
24,9,186,1,111.44
25,9,733,2,450.57
26,9,677,4,234.35
27,9,766,2,75.74
28,10,70,2,397.42
29,11,412,1,264.88
30,12,527,3,275.33
31,13,223,4,311.95
32,14,778,3,405.1
33,14,742,1,13.97
34,14,697,3,511.91
35,14,9,3,232.25
36,14,95,2,246.67
37,15,519,2,274.25
38,15,393,1,230.51
39,16,740,3,324.67
40,17,227,2,21.19
41,18,61,3,349.53
42,18,229,3,161.58
43,19,15,3,403.53
44,19,269,1,129.36
45,20,363,4,125.12
46,20,554,4,73.34
47,20,8,4,156.18
48,21,457,3,301.58
49,21,247,1,493.35
50,21,185,4,52.58
51,22,641,4,158.69
52,22,218,2,262.76
53,22,304,1,347.08
54,22,784,4,291.77
55,23,15,2,452.71
56,23,652,4,460.82
57,23,287,2,131.92
58,23,450,3,229.52
59,24,37,2,62.24
60,24,12,4,465.99
61,25,313,1,366.3
62,25,260,2,273.14
63,25,316,4,406.64
64,25,430,4,353.88
65,25,180,3,351.37
66,26,359,3,134.52
67,26,284,2,231.55
68,26,331,4,44.18
69,26,588,3,232.63
70,26,798,4,105.71
71,27,243,4,513.73
72,27,224,3,156.62
73,27,178,2,174.16
74,28,259,1,339.45
75,29,510,3,274.78
76,29,732,2,230.23
77,29,684,4,340.49
78,29,23,1,380.44
79,30,320,3,247.14
80,30,327,2,55.72
81,30,711,3,420.16
