ORDER_ID,CUST_ID,order_dt,region,status
1,3917,2024-09-18,West,completed
2,4076,2025-10-13,Southeast,completed
3,2129,2026-03-09,Southeast,completed
4,1103,2024-06-08,Midwest,completed
5,3201,2024-11-25,Southwest,completed
6,3841,2025-05-26,Midwest,completed
7,3873,2025-04-10,Midwest,completed
8,2235,2025-05-22,Midwest,completed
9,2524,2026-08-14,Southeast,completed
10,2945,2025-01-26,Southwest,completed
11,3618,2024-02-09,Northeast,cancelled
12,4142,2025-09-15,West,completed
13,2671,2026-05-08,Southeast,completed
14,4321,2026-03-13,Southwest,completed
15,911,2025-12-14,Southeast,completed
16,727,2025-02-25,Southwest,completed
17,4299,2024-01-10,Southwest,completed
18,1907,2026-04-26,Southwest,completed
19,1021,2025-06-20,Northeast,completed
20,4389,2025-03-04,West,completed
21,3801,2025-05-28,Northeast,completed
22,3538,2025-11-03,Midwest,completed
23,3625,2025-01-01,Northeast,completed
24,691,2025-11-20,West,completed
25,1901,2024-08-13,Midwest,completed
26,4229,2025-03-08,Northeast,completed
27,4906,2024-01-27,Midwest,completed
28,4870,2024-10-25,Midwest,completed
29,1793,2026-08-09,Midwest,completed
30,1274,2025-07-19,West,completed
31,686,2026-04-22,West,completed
32,4549,2024-03-06,Southwest,completed
33,2980,2026-05-12,Southeast,completed
34,1248,2026-07-18,Midwest,completed
35,3434,2024-11-15,Southwest,completed
36,4486,2024-05-20,Southwest,completed
37,790,2024-12-27,Southwest,completed
38,3558,2025-06-27,Southwest,completed
39,313,2024-06-29,West,completed
40,1952,2026-05-02,Southwest,completed
41,2717,2026-02-04,West,completed
42,931,2026-03-30,Southwest,completed
43,4537,2025-08-23,Southwest,completed
44,3548,2025-02-08,Southeast,completed
45,3581,2026-06-18,Southeast,completed
46,4886,2026-05-05,Southwest,completed
47,4336,2025-08-05,Southeast,completed
48,1560,2026-02-06,Southeast,completed
49,2130,2025-03-04,Southwest,completed
50,4218,2024-02-07,West,completed
51,4408,2025-05-22,Northeast,completed
52,1050,2025-01-21,Midwest,completed
53,438,2025-09-13,Midwest,completed
54,135,2025-01-10,Southwest,returned
55,914,2025-05-06,West,cancelled
56,734,2024-06-23,Southwest,completed
57,3554,2026-07-08,Southeast,completed
58,1262,2024-05-14,Southeast,completed
59,3309,2024-02-01,West,completed
60,4756,2026-08-15,Southeast,completed
61,3831,2024-08-07,Southwest,cancelled
62,4489,2026-05-23,Midwest,completed
63,3801,2024-05-14,Northeast,completed
64,4047,2025-08-06,Southwest,completed
65,3489,2025-06-24,Midwest,completed
66,2013,2024-11-11,Midwest,completed
67,3847,2025-12-03,Northeast,completed
68,2940,2025-02-06,West,completed
69,4167,2025-06-11,Southeast,completed
70,2046,2024-08-26,Southeast,completed
71,3049,2025-08-18,Midwest,completed
72,836,2025-03-10,Midwest,returned
73,1216,2026-06-08,Southwest,returned
74,3805,2025-09-29,Midwest,completed
75,3103,2025-05-07,Midwest,completed
76,723,2024-01-22,Southwest,completed
77,746,2026-01-04,Southwest,completed
78,2227,2025-04-03,Southeast,returned
79,2773,2024-04-18,West,completed
80,3390,2026-01-08,West,completed
81,4272,2026-02-15,Northeast,completed
82,1696,2024-05-17,Southeast,completed
83,2022,2026-01-11,Midwest,completed
84,1583,2024-10-17,Southwest,completed
85,3692,2024-08-19,Midwest,completed
86,38,2025-07-11,Northeast,completed
87,1786,2025-02-11,Southeast,completed
88,3675,2026-08-20,Midwest,completed
89,4216,2026-01-25,West,completed
90,1999,2024-12-22,West,completed
91,1163,2025-08-11,Northeast,completed
92,862,2024-05-29,Midwest,completed
93,1515,2025-06-08,Midwest,completed
94,2885,2025-03-14,Southwest,returned
95,3411,2024-04-22,Southeast,completed
96,357,2024-07-04,Southeast,completed
97,808,2026-01-22,Southwest,completed
98,4345,2024-07-12,Northeast,completed
99,199,2025-10-31,West,completed
100,899,2024-07-19,Midwest,completed
101,4767,2024-05-28,Midwest,completed
102,4509,2024-10-13,Southwest,completed
103,4785,2026-06-03,Southwest,completed
104,2316,2024-10-17,Northeast,completed
105,4639,2025-11-29,West,completed
106,2764,2024-03-02,Midwest,completed
107,2899,2025-10-21,West,completed
108,431,2025-05-22,Midwest,completed
109,1421,2024-11-04,Southwest,completed
110,4041,2024-08-14,Southwest,completed
111,775,2024-05-03,Southwest,completed
112,3016,2025-09-18,Southwest,completed
113,2200,2025-08-24,Midwest,completed
114,4002,2025-10-05,West,cancelled
115,2778,2025-03-06,Southwest,completed
116,3681,2024-11-20,West,completed
117,4231,2024-09-03,Southeast,completed
118,3559,2024-06-10,Southwest,completed
119,1908,2025-06-21,West,completed
120,4466,2024-01-01,Southwest,completed
121,788,2026-08-02,West,completed
122,3377,2024-10-19,Midwest,completed
123,83,2024-04-26,Southwest,completed
124,4253,2025-02-01,Southeast,completed
125,2439,2024-08-29,Northeast,completed
126,325,2024-03-28,Midwest,completed
127,3507,2024-05-03,Midwest,completed
128,308,2024-01-13,Southeast,completed
129,23,2025-11-10,Southwest,completed
130,4930,2025-04-27,West,completed
131,2620,2025-08-02,Southeast,completed
132,2937,2024-09-22,West,cancelled
133,2183,2024-10-18,Northeast,cancelled
134,2986,2024-04-24,Midwest,completed
135,3110,2025-10-21,Southwest,completed
136,3228,2025-07-24,Northeast,completed
137,4533,2024-06-15,Southeast,completed
138,1434,2024-12-25,West,completed
139,2481,2024-03-27,Midwest,cancelled
140,4562,2025-12-25,Southeast,returned
141,685,2024-12-30,Midwest,completed
142,238,2025-07-25,Northeast,completed
143,3971,2024-01-25,West,completed
144,4423,2025-01-29,Southeast,completed
145,1863,2026-05-26,Midwest,completed
146,3709,2025-08-03,Southwest,completed
147,302,2024-08-05,Southeast,completed
148,3687,2025-01-01,Southeast,completed
149,2669,2025-05-07,Southeast,completed
150,4755,2026-07-17,Southwest,completed
151,1071,2025-09-17,Southwest,completed
152,4361,2024-11-29,Northeast,completed
153,4939,2025-12-03,West,completed
154,4757,2024-09-02,Northeast,completed
155,1548,2024-05-01,Southeast,completed
156,2993,2024-06-01,Southwest,completed
157,640,2024-02-26,West,completed
158,1150,2026-03-14,Southeast,cancelled
159,204,2026-07-14,Northeast,completed
160,2148,2025-03-29,West,completed
161,2792,2026-01-07,Southeast,completed
162,2783,2026-05-19,Southeast,completed
163,964,2026-06-26,Southeast,completed
164,2466,2026-04-18,Southeast,completed
165,744,2025-04-28,Midwest,completed
166,638,2025-02-15,Northeast,completed
167,914,2025-07-31,West,completed
168,2433,2026-08-01,Southeast,completed
169,1496,2025-02-01,Southeast,completed
170,2306,2025-11-25,Southwest,completed
171,3101,2024-11-23,Southeast,completed
172,2591,2024-01-02,Southwest,cancelled
173,2363,2024-10-29,Southwest,cancelled
174,2808,2025-03-16,Southwest,completed
175,2592,2024-01-28,Northeast,completed
176,941,2024-10-12,Southeast,completed
177,3170,2024-08-29,Midwest,completed
178,2761,2024-01-13,Midwest,completed
179,1920,2025-12-09,Southwest,completed
180,4117,2024-09-30,Southeast,completed
181,2065,2025-06-01,Northeast,completed
182,4246,2025-08-11,Southeast,completed
183,2902,2024-09-05,Midwest,completed
184,4200,2024-09-18,Southwest,completed
185,316,2026-06-28,Southeast,returned
186,3749,2024-11-04,Midwest,completed
187,2878,2024-11-13,Southeast,completed
188,2013,2024-04-30,Midwest,completed
189,3700,2025-08-02,Midwest,returned
190,840,2026-01-17,Southwest,completed
191,2323,2026-08-02,Southeast,completed
192,3211,2025-06-07,Northeast,completed
193,4003,2025-09-12,Northeast,completed
194,4923,2026-04-08,Southwest,completed
195,4988,2024-06-07,Northeast,completed
196,1201,2024-10-04,Southeast,completed
197,788,2025-05-23,West,completed
198,3851,2026-05-12,Midwest,completed
199,3538,2024-08-09,Midwest,completed
200,3367,2026-04-11,Southwest,completed
201,1280,2026-07-10,Southwest,completed
202,3215,2025-03-01,Northeast,completed
203,347,2024-07-28,Northeast,completed
204,1063,2024-08-30,Southwest,completed
205,2282,2025-07-19,Northeast,completed
206,1157,2025-03-22,Southeast,cancelled
207,1223,2026-06-29,Northeast,completed
208,2263,2024-06-03,Midwest,completed
209,1625,2025-04-07,Midwest,completed
210,974,2024-03-21,Southeast,completed
211,3450,2024-12-02,Midwest,completed
212,2197,2025-01-02,Midwest,completed
213,1881,2026-03-06,Midwest,completed
214,2340,2026-07-26,Northeast,completed
215,2800,2024-04-24,Southwest,completed
216,2634,2025-12-11,Midwest,completed
217,4171,2024-06-06,Midwest,completed
218,2354,2025-07-19,Northeast,returned
219,1095,2025-04-04,Midwest,cancelled
220,2448,2024-11-21,Midwest,completed
221,3396,2024-06-09,Southeast,completed
222,1176,2026-03-08,Northeast,completed
223,273,2024-11-18,West,completed
224,988,2024-11-28,Midwest,completed
225,290,2024-04-09,Midwest,cancelled
226,1234,2025-02-14,Southwest,completed
227,4200,2024-05-16,Southwest,completed
228,2231,2024-06-01,Midwest,completed
229,2918,2025-01-12,Southwest,completed
230,2532,2025-09-27,West,completed
231,1,2026-02-27,Midwest,completed
232,1178,2026-01-25,Southwest,completed
233,2144,2025-10-03,Midwest,completed
234,4309,2024-02-15,West,completed
235,1135,2026-03-26,Northeast,completed
236,206,2026-03-09,West,completed
237,1295,2024-06-30,Midwest,completed
238,2117,2024-08-12,Southeast,completed
239,3487,2025-02-11,Southeast,returned
240,4733,2024-09-22,Southeast,completed
241,1299,2025-07-05,Northeast,cancelled
242,4406,2024-02-03,West,completed
243,2788,2025-08-14,Southwest,completed
244,3999,2026-01-08,Midwest,completed
245,3556,2025-01-27,West,completed
246,2620,2025-06-26,Southeast,completed
247,1741,2026-02-28,West,completed
248,1662,2025-02-15,Midwest,completed
249,1230,2026-01-10,Southeast,completed
250,1540,2026-05-07,Northeast,completed
251,3580,2026-06-18,West,completed
252,4031,2025-11-10,West,completed
253,4798,2026-07-29,Southwest,completed
254,1841,2024-10-02,West,cancelled
255,1216,2024-02-03,Southwest,completed
256,1449,2024-06-21,Northeast,completed
257,264,2025-12-09,West,completed
258,1538,2026-08-02,Southwest,completed
259,708,2025-08-08,West,completed
260,998,2024-12-15,Northeast,completed
261,1397,2024-01-11,West,completed
262,1105,2024-02-28,Southwest,completed
263,1192,2025-08-05,Southeast,completed
264,1732,2024-02-04,Southeast,completed
265,1722,2026-03-14,West,completed
266,1592,2026-07-02,Midwest,completed
267,2302,2024-08-06,Midwest,completed
268,1179,2025-06-27,West,completed
269,4473,2024-08-11,West,cancelled
270,4477,2026-03-02,Southeast,completed
271,1863,2024-12-19,Midwest,completed
272,4824,2025-06-14,Midwest,completed
273,765,2025-02-13,Midwest,completed
274,3446,2025-01-07,Midwest,completed
275,3201,2025-01-18,Southwest,cancelled
276,4301,2026-01-25,West,completed
277,3920,2025-11-24,Southeast,completed
278,2351,2026-05-15,Northeast,completed
279,4385,2025-10-11,Southwest,completed
280,99,2024-04-08,Midwest,completed
281,3196,2024-01-20,Southeast,completed
282,4433,2024-06-28,Midwest,completed
283,333,2025-06-08,West,completed
284,648,2026-02-26,Southwest,completed
285,3296,2025-08-12,Southeast,completed
286,2228,2026-03-20,Northeast,completed
287,1048,2025-04-11,Midwest,completed
288,2941,2024-03-12,Southwest,completed
289,4982,2024-08-09,Southeast,completed
290,388,2026-01-03,Northeast,cancelled
291,3987,2025-03-04,Northeast,completed
292,3595,2025-03-15,Midwest,completed
293,3594,2025-03-04,Northeast,completed
294,3875,2025-02-03,Northeast,completed
295,4949,2024-12-29,Midwest,completed
296,2161,2024-08-14,Southeast,completed
297,2215,2024-02-26,Northeast,completed
298,2514,2025-03-09,Southeast,completed
299,753,2026-08-02,Southeast,completed
300,2944,2026-07-13,Northeast,completed
301,956,2024-04-28,Southwest,completed
302,3946,2024-05-22,Southwest,completed
303,1287,2025-04-24,Northeast,completed
304,2974,2025-01-10,Southwest,returned
305,609,2025-09-03,Northeast,completed
306,4976,2025-12-08,Northeast,completed
307,166,2025-02-10,Northeast,completed
308,1541,2024-07-28,Northeast,cancelled
309,1257,2025-01-22,Northeast,returned
310,1664,2024-02-09,Southwest,completed
311,4886,2025-03-14,Southwest,completed
312,1589,2026-01-16,Midwest,completed
313,3325,2025-02-13,Southwest,completed
314,4599,2025-05-01,Southwest,completed
315,2483,2025-12-01,Southeast,completed
316,4793,2024-04-18,West,completed
317,3304,2024-09-13,West,completed
318,2591,2024-03-17,Southwest,completed
319,4736,2024-01-02,Southeast,cancelled
320,3486,2025-12-06,Midwest,completed
321,874,2024-06-27,Midwest,completed
322,26,2024-03-23,Southwest,completed
323,803,2025-09-29,Midwest,completed
324,2671,2025-07-03,Southeast,completed
325,4834,2026-07-23,West,completed
326,2265,2025-05-19,Southwest,cancelled
327,3947,2025-11-13,Northeast,completed
328,714,2026-04-25,Northeast,returned
329,3371,2025-09-08,Southwest,completed
330,1107,2026-07-01,Midwest,completed
331,652,2025-05-26,Southeast,completed
332,4854,2026-04-06,Midwest,cancelled
333,3136,2025-10-06,Southwest,completed
334,3013,2025-11-29,Midwest,completed
335,911,2025-04-30,Southeast,completed
336,944,2025-12-28,Midwest,completed
337,2150,2025-07-28,West,completed
338,4490,2024-04-17,West,completed
339,1190,2025-03-11,West,returned
340,1307,2026-05-29,Northeast,returned
341,3714,2026-02-24,Southwest,completed
342,3647,2025-03-14,West,completed
343,1373,2026-03-21,Northeast,completed
344,1399,2026-02-06,West,completed
345,2051,2024-09-01,Midwest,completed
346,4785,2024-08-03,Southwest,completed
347,359,2024-12-01,West,completed
348,2304,2026-04-29,Southeast,completed
349,2221,2024-09-02,Midwest,completed
350,3553,2025-10-07,Northeast,completed
351,2700,2026-04-06,Southeast,completed
352,951,2024-02-14,Southeast,completed
353,4756,2025-11-02,Southeast,completed
354,706,2025-07-07,West,completed
355,2948,2024-08-24,West,completed
356,1245,2025-03-23,West,completed
357,2440,2024-09-30,Southeast,completed
358,4262,2024-02-10,Northeast,completed
359,1867,2026-06-14,Northeast,completed
360,1318,2024-05-30,Southeast,completed
361,2595,2026-07-18,West,completed
362,1063,2026-06-28,Southwest,completed
363,2859,2024-11-15,Northeast,completed
364,3996,2026-01-02,Midwest,completed
365,4163,2024-02-17,Southeast,completed
366,1677,2025-08-01,Southwest,completed
367,1014,2026-06-19,West,cancelled
368,2304,2025-03-18,Southeast,completed
369,282,2025-05-17,Northeast,completed
370,3442,2025-08-17,West,completed
371,2171,2026-07-31,Midwest,completed
372,2753,2025-01-02,Northeast,completed
373,3296,2025-06-18,Southeast,completed
374,3962,2026-08-23,Midwest,completed
375,2848,2024-12-29,Midwest,returned
376,4189,2025-10-05,Southeast,completed
377,4102,2024-07-15,Northeast,completed
378,3052,2024-06-22,Southeast,completed
379,663,2025-09-20,Southwest,completed
380,1443,2024-05-11,Midwest,completed
381,4870,2024-12-18,Midwest,completed
382,517,2024-08-16,Midwest,completed
383,1424,2024-05-17,West,cancelled
384,286,2024-01-03,Southwest,completed
385,598,2025-07-05,West,completed
386,2072,2025-08-26,Southeast,completed
387,2119,2025-07-21,Southeast,completed
388,1851,2025-12-04,Northeast,completed
389,2556,2025-03-16,West,completed
