PROD_ID,prod_name,category,unit_cost
1,Home Goods Item 1,Home Goods,154.68
2,Home Goods Item 2,Home Goods,32.91
3,Office Supplies Item 3,Office Supplies,130.72
4,Sporting Goods Item 4,Sporting Goods,22.18
5,Electronics Item 5,Electronics,51.69
6,Home Goods Item 6,Home Goods,265.36
7,Home Goods Item 7,Home Goods,206.66
8,Electronics Item 8,Electronics,87.31
9,Office Supplies Item 9,Office Supplies,156.55
10,Office Supplies Item 10,Office Supplies,270.41
11,Sporting Goods Item 11,Sporting Goods,262.68
12,Home Goods Item 12,Home Goods,287.7
13,Electronics Item 13,Electronics,170.09
14,Office Supplies Item 14,Office Supplies,48.75
15,Apparel Item 15,Apparel,266.02
16,Sporting Goods Item 16,Sporting Goods,248.51
17,Electronics Item 17,Electronics,51.38
18,Electronics Item 18,Electronics,181.65
19,Sporting Goods Item 19,Sporting Goods,128.35
20,Home Goods Item 20,Home Goods,149.04
21,Sporting Goods Item 21,Sporting Goods,247.8
22,Electronics Item 22,Electronics,23.81
23,Office Supplies Item 23,Office Supplies,247.13
24,Home Goods Item 24,Home Goods,261.08
25,Office Supplies Item 25,Office Supplies,177.43
26,Apparel Item 26,Apparel,114.25
27,Office Supplies Item 27,Office Supplies,51.53
28,Apparel Item 28,Apparel,150.78
29,Electronics Item 29,Electronics,209.97
30,Electronics Item 30,Electronics,179.85
31,Sporting Goods Item 31,Sporting Goods,89.79
32,Apparel Item 32,Apparel,202.18
33,Electronics Item 33,Electronics,234.72
34,Electronics Item 34,Electronics,295.51
35,Apparel Item 35,Apparel,80.21
36,Apparel Item 36,Apparel,80.39
37,Sporting Goods Item 37,Sporting Goods,39.64
38,Sporting Goods Item 38,Sporting Goods,16.92
39,Home Goods Item 39,Home Goods,165.04
40,Home Goods Item 40,Home Goods,63.82
41,Office Supplies Item 41,Office Supplies,208.72
42,Electronics Item 42,Electronics,267.68
43,Home Goods Item 43,Home Goods,252.4
44,Home Goods Item 44,Home Goods,178.01
45,Home Goods Item 45,Home Goods,63.43
46,Office Supplies Item 46,Office Supplies,31.15
47,Office Supplies Item 47,Office Supplies,140.55
48,Electronics Item 48,Electronics,166.47
49,Sporting Goods Item 49,Sporting Goods,71.39
50,Apparel Item 50,Apparel,236.64
51,Electronics Item 51,Electronics,142.32
52,Office Supplies Item 52,Office Supplies,67.48
53,Electronics Item 53,Electronics,94.7
54,Electronics Item 54,Electronics,240.78
55,Home Goods Item 55,Home Goods,113.87
56,Electronics Item 56,Electronics,175.82
57,Home Goods Item 57,Home Goods,71.78
